English Word	Valence	Arousal	Dominance	Khmer Word
absolution	0.715	0.500	0.664	ការរំលាយ
absolve	0.684	0.449	0.660	ទាំងស្រុង
absorb	0.469	0.558	0.670	ស្រូប
absorbed	0.490	0.471	0.519	ស្រូប
absorbent	0.552	0.394	0.718	ស្រូប
absorbing	0.490	0.490	0.578	ស្រូប
absorption	0.609	0.422	0.446	ការស្រូបយក
abstain	0.385	0.385	0.427	ហាមប្រាម
abstention	0.271	0.264	0.509	ការហាមឃាត់
abstinence	0.260	0.392	0.429	ការអត់ឱន
abstract	0.438	0.292	0.444	អរូបី
abstraction	0.469	0.439	0.525	អរូបី
absurd	0.188	0.656	0.284	មិនសមហេតុផល
absurdity	0.115	0.528	0.227	ភាពមិនសមហេតុផល
abundance	0.812	0.690	0.852	ភាពសម្បូរបែប
abundant	0.958	0.590	0.760	សម្បូរបែប
abuse	0.071	0.873	0.469	ការរំលោភបំពាន
abused	0.021	0.874	0.235	បំពាន
abusive	0.125	0.903	0.567	បំពាន
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	អាប៊ី
abysmal	0.250	0.710	0.598	អាប់អួរ
abyss	0.353	0.725	0.296	ទីជ្រៅ
academic	0.781	0.420	0.812	សិក្សា
academy	0.704	0.473	0.792	បណ្ឌិត្យសភា
accede	0.698	0.510	0.537	ចូល
accelerant	0.643	0.844	0.802	បង្កើនល្បឿន
accelerate	0.615	0.902	0.759	បង្កើនល្បឿន
accelerated	0.610	0.812	0.682	បង្កើនល្បឿន
acceleration	0.704	0.905	0.843	ការបង្កើនល្បឿន
accelerator	0.593	0.830	0.812	ឧបករណ៍បង្កើនល្បឿន
accent	0.598	0.357	0.509	ការសង្កត់សំឡេង
accentuate	0.673	0.556	0.667	សង្កត់សំឡេង
accept	0.847	0.286	0.565	ទទួលយក
acceptable	0.812	0.286	0.583	អាចទទួលយកបាន។
acceptance	0.833	0.287	0.755	ការទទួលយក
acceptances	0.847	0.413	0.648	ការទទួលយក
access	0.714	0.472	0.567	ការចូលប្រើ
accessible	0.796	0.410	0.645	អាចចូលប្រើបាន។
accession	0.612	0.383	0.636	ការចូល
accessory	0.562	0.292	0.445	គ្រឿងបន្លាស់
accident	0.125	0.908	0.336	គ្រោះថ្នាក់
accidental	0.319	0.784	0.307	ចៃដន្យ
accidentally	0.333	0.741	0.333	ចៃដន្យ
acclaim	0.562	0.809	0.718	អបអរសាទរ
accolade	0.688	0.591	0.775	រង្វាន់
accommodate	0.844	0.375	0.566	ស្នាក់នៅ
accommodation	0.817	0.415	0.587	កន្លែងស្នាក់នៅ
accompaniment	0.740	0.479	0.695	អមដំណើរ
accompany	0.833	0.406	0.585	អមដំណើរ
accompanying	0.787	0.460	0.582	ជាមួយ
accomplice	0.408	0.580	0.510	សមគំនិត
accomplish	0.929	0.673	0.816	សម្រេច
accomplished	0.870	0.520	0.798	បានសម្រេច
accomplishment	0.917	0.694	0.888	សមិទ្ធិផល
accord	0.898	0.264	0.382	ស្រប
accordance	0.659	0.349	0.600	អនុលោមតាម
accordion	0.604	0.490	0.361	accordion
account	0.531	0.347	0.472	គណនី
accountability	0.755	0.537	0.833	គណនេយ្យភាព
accountable	0.709	0.282	0.777	ទទួលខុសត្រូវ
accountant	0.625	0.450	0.639	គណនេយ្យករ
accounting	0.552	0.390	0.677	គណនេយ្យ
accounts	0.592	0.340	0.471	គណនី
accredited	0.669	0.479	0.768	ទទួលស្គាល់
accretion	0.448	0.519	0.672	ការបន្ថែម
accrue	0.520	0.481	0.602	កើនឡើង
accueil	0.450	0.451	0.470	បន្ទរ
accumulate	0.573	0.536	0.607	កកកុញ
accumulation	0.479	0.527	0.600	ការប្រមូលផ្តុំ
accuracy	0.604	0.481	0.802	ភាព​ត្រឹមត្រូវ
accurate	0.743	0.360	0.737	ត្រឹមត្រូវ។
accursed	0.135	0.745	0.345	បណ្តាសា
accusation	0.073	0.718	0.564	ការចោទប្រកាន់
accusative	0.198	0.755	0.482	ចោទប្រកាន់
accuse	0.133	0.752	0.500	ចោទប្រកាន់
accused	0.130	0.670	0.420	ជនជាប់ចោទ
accuser	0.122	0.779	0.615	អ្នកចោទប្រកាន់
accusing	0.156	0.745	0.324	ចោទប្រកាន់
accustomed	0.542	0.365	0.441	ទម្លាប់
ace	0.643	0.481	0.546	អាត់
acetic	0.333	0.420	0.519	អាសេទិក
acetylene	0.306	0.469	0.509	អាសេទីលីន
ache	0.146	0.760	0.312	ឈឺ
achieve	0.816	0.545	0.843	សម្រេចបាន។
achieved	0.896	0.519	0.775	សម្រេចបាន។
achievement	0.896	0.808	0.759	សមិទ្ធិផល
aching	0.053	0.880	0.348	ឈឺ
achy	0.167	0.840	0.373	ឈឺ
acid	0.265	0.642	0.566	អាស៊ីត
acidity	0.156	0.663	0.360	អាស៊ីត
acknowledge	0.786	0.370	0.661	ទទួល​ស្គាល់
acknowledged	0.714	0.443	0.765	បាន​ទទួល​ស្គាល់
acknowledgement	0.819	0.539	0.830	ការទទួលស្គាល់
acknowledgment	0.796	0.528	0.777	ការទទួលស្គាល់
acme	0.408	0.435	0.375	អាម
acne	0.167	0.474	0.308	មុន
acorn	0.448	0.198	0.192	ផ្លេសេន
acoustic	0.542	0.462	0.536	សូរស័ព្ទ
acoustics	0.611	0.330	0.509	សូរស័ព្ទ
acquaint	0.646	0.491	0.639	ស្គាល់
acquaintance	0.656	0.290	0.670	អ្នកស្គាល់គ្នា។
acquainted	0.906	0.358	0.632	ស្គាល់
acquiescence	0.542	0.480	0.554	ការទទួលបាន
acquire	0.833	0.468	0.700	ទទួលបាន
acquiring	0.735	0.510	0.817	ការទទួលបាន
acquisition	0.698	0.509	0.736	ការទិញយក
acquisitions	0.773	0.660	0.790	ការទិញយក
acquit	0.583	0.571	0.611	ដោះលែង
acquittal	0.760	0.497	0.700	ដោះលែង
acre	0.583	0.387	0.423	ហិចតា
acreage	0.741	0.450	0.528	វាលស្រែ
acres	0.510	0.363	0.500	ហិចតា
acrobat	0.708	0.828	0.602	កាយសម្ព័ន្ធ
acrylic	0.582	0.279	0.420	អាគ្រីលីក
act	0.656	0.704	0.735	ទង្វើ
acting	0.698	0.643	0.500	ការសម្ដែង
action	0.760	0.898	0.802	សកម្មភាព
action figure	0.615	0.774	0.611	តួលេខសកម្មភាព
actionable	0.673	0.702	0.613	អាចធ្វើសកម្មភាពបាន។
activate	0.764	0.650	0.806	ធ្វើឱ្យសកម្ម
activation	0.781	0.800	0.754	ការធ្វើឱ្យសកម្ម
active	0.847	0.730	0.731	សកម្ម
activist	0.531	0.653	0.877	សកម្មជន
activity	0.701	0.660	0.807	សកម្មភាព
actor	0.653	0.561	0.629	តារាសម្ដែង
actress	0.633	0.556	0.596	តារាសម្តែង
actual	0.729	0.400	0.716	ពិត
actuality	0.750	0.464	0.600	ការពិត
actuary	0.510	0.404	0.491	គណនេយ្យករ
acuity	0.469	0.378	0.741	ភាពច្បាស់លាស់
acumen	0.564	0.660	0.679	ស្ទាត់ជំនាញ
acupuncture	0.531	0.324	0.549	ការចាក់ម្ជុលវិទ្យាសាស្ត្រ
acute	0.427	0.652	0.534	ស្រួចស្រាវ
acutely	0.417	0.543	0.491	យ៉ាងស្រួចស្រាវ
ad	0.521	0.705	0.558	ការផ្សាយពាណិជ្ជកម្ម
adage	0.517	0.415	0.566	សុភាសិត
adamant	0.344	0.529	0.575	រឹងរូស
adapt	0.740	0.355	0.551	សម្របខ្លួន
adaptable	0.735	0.423	0.641	អាដាប់ធ័រ
adaptation	0.663	0.365	0.609	ការសម្របខ្លួន
add	0.728	0.490	0.554	បន្ថែម
added	0.562	0.405	0.509	បន្ថែម
addendum	0.392	0.370	0.418	បន្ថែម
adder	0.388	0.461	0.588	អ្នកបន្ថែម
addict	0.075	0.696	0.327	ញៀន
addicted	0.156	0.712	0.483	ញៀន
addiction	0.180	0.806	0.420	ការញៀន
addictive	0.302	0.683	0.472	ញៀន
addition	0.562	0.373	0.471	បន្ថែម
additional	0.673	0.462	0.526	បន្ថែម
additive	0.561	0.633	0.691	សារធាតុបន្ថែម
address	0.650	0.327	0.567	អាសយដ្ឋាន
addressee	0.622	0.382	0.538	អ្នកទទួល
addresses	0.510	0.354	0.450	អាសយដ្ឋាន
adept	0.594	0.539	0.789	ជំនាញ
adequacy	0.615	0.435	0.702	ភាពគ្រប់គ្រាន់
adequate	0.854	0.264	0.705	គ្រប់គ្រាន់
adhere	0.633	0.339	0.554	ប្រកាន់ខ្ជាប់
adherence	0.760	0.307	0.630	ការប្រកាន់ខ្ជាប់
adherent	0.561	0.385	0.555	ប្រកាន់ខ្ជាប់
adhering	0.612	0.561	0.537	ការប្រកាន់ខ្ជាប់
adhesion	0.521	0.445	0.586	ការស្អិត
adhesive	0.604	0.350	0.413	សារធាតុស្អិត
adieu	0.250	0.471	0.342	អាឌីវ
adipose	0.333	0.350	0.391	adipose
adjacency	0.365	0.417	0.375	ជាប់គ្នា។
adjacent	0.645	0.276	0.536	នៅជាប់គ្នា។
adjective	0.570	0.316	0.569	គុណនាម
adjoining	0.520	0.400	0.393	នៅជាប់គ្នា។
adjourn	0.385	0.456	0.475	ពន្យារពេល
adjournment	0.438	0.510	0.370	ការពន្យារពេល
adjudicate	0.559	0.520	0.683	វិនិច្ឆ័យ
adjudication	0.551	0.462	0.691	ការវិនិច្ឆ័យ
adjunct	0.459	0.440	0.426	បន្ថែម
adjust	0.647	0.327	0.638	កែតម្រូវ
adjuster	0.510	0.540	0.760	ឧបករណ៍កែតម្រូវ
adjustment	0.590	0.520	0.661	ការកែតម្រូវ
adjuvant	0.510	0.500	0.456	adjuvant
admin	0.688	0.420	0.854	អ្នកគ្រប់គ្រង
administer	0.635	0.425	0.860	គ្រប់គ្រង
administration	0.625	0.404	0.786	រដ្ឋបាល
administrative	0.542	0.415	0.579	រដ្ឋបាល
administrator	0.538	0.480	0.902	អ្នកគ្រប់គ្រង
admirable	0.929	0.600	0.870	គួរឲ្យសរសើរ
admiral	0.844	0.490	0.847	ឧត្តមនាវី
admiralty	0.594	0.547	0.733	ការកោតសរសើរ
admiration	0.969	0.583	0.726	ការកោតសរសើរ
admire	0.867	0.692	0.704	កោតសរសើរ
admired	0.917	0.560	0.815	កោតសរសើរ
admirer	0.796	0.720	0.650	អ្នកកោតសរសើរ
admiring	0.867	0.578	0.629	កោតសរសើរ
admissibility	0.802	0.580	0.602	ភាពអាចចូលបាន។
admissible	0.780	0.528	0.642	អាចទទួលយកបាន។
admission	0.802	0.415	0.732	ការចូលរៀន
admit	0.538	0.423	0.667	ទទួលស្គាល់
admittance	0.690	0.451	0.598	ការចូលរៀន
admitted	0.720	0.490	0.767	ទទួលយក
admitting	0.620	0.500	0.546	ទទួលស្គាល់
admixture	0.450	0.375	0.438	ល្បាយ
admonition	0.357	0.606	0.455	ការដាស់តឿន
ado	0.520	0.423	0.385	អាដូ
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	វ័យជំទង់
adolescent	0.781	0.680	0.509	វ័យជំទង់
adopt	0.694	0.612	0.701	អនុម័ត
adoption	0.625	0.566	0.589	កូនចិញ្ចឹម
adoptive	0.531	0.469	0.520	កូនចិញ្ចឹម
adorable	0.969	0.519	0.457	គួរអោយស្រលាញ់
adoration	0.885	0.699	0.708	ការថ្វាយបង្គំ
adore	0.854	0.438	0.657	គោរព
adoring	0.885	0.620	0.717	គួរឱ្យស្រឡាញ់
adorn	0.910	0.424	0.482	តុបតែង
adornment	0.918	0.373	0.377	គ្រឿងតុបតែង
adrenalin	0.865	0.920	0.786	អាដ្រេណាលីន
adrenaline	0.765	0.965	0.825	អាដ្រេណាលីន
adrift	0.398	0.486	0.230	អណ្តែត
adult	0.815	0.491	0.787	មនុស្សពេញវ័យ
adulterated	0.188	0.865	0.370	ផិតក្បត់
adulterer	0.229	0.814	0.407	អ្នកផិតក្បត់
adultery	0.120	0.922	0.510	អំពើផិតក្បត់
adulthood	0.541	0.454	0.652	ភាពពេញវ័យ
advance	0.673	0.472	0.858	ទៅមុខ
advanced	0.844	0.623	0.797	កម្រិតខ្ពស់
advancement	0.776	0.650	0.839	វឌ្ឍនភាព
advancing	0.929	0.608	0.812	ជឿនលឿន
advantage	0.917	0.548	0.859	អត្ថប្រយោជន៍
advantageous	0.837	0.640	0.789	អត្ថប្រយោជន៍
advent	0.665	0.560	0.627	ការមកដល់
adventure	0.917	0.857	0.710	ដំណើរផ្សងព្រេង
adventurer	0.781	0.839	0.868	អ្នកផ្សងព្រេង
adventures	0.812	0.764	0.749	ដំណើរផ្សងព្រេង
adventurous	0.969	0.898	0.722	ផ្សងព្រេង
adversary	0.349	0.777	0.457	សត្រូវ
adverse	0.323	0.610	0.385	អវិជ្ជមាន
adversity	0.276	0.760	0.538	ទុក្ខលំបាក
advertise	0.500	0.529	0.580	ផ្សាយពាណិជ្ជកម្ម
advertisement	0.600	0.566	0.539	ការផ្សាយពាណិជ្ជកម្ម
advertising	0.622	0.608	0.632	ការផ្សាយពាណិជ្ជកម្ម
adverts	0.551	0.500	0.595	ការផ្សាយពាណិជ្ជកម្ម
advice	0.698	0.408	0.688	ដំបូន្មាន
advisable	0.867	0.480	0.510	ជាទីប្រឹក្សា
advise	0.760	0.393	0.705	ណែនាំ
advised	0.823	0.330	0.509	បានណែនាំ
advisement	0.698	0.235	0.655	ដំបូន្មាន
adviser	0.745	0.362	0.705	ទីប្រឹក្សា
advisor	0.646	0.350	0.689	ទីប្រឹក្សា
advisory	0.656	0.429	0.633	ប្រឹក្សា
advocacy	0.500	0.646	0.731	ការតស៊ូមតិ
advocate	0.551	0.530	0.818	អ្នកតស៊ូមតិ
aegis	0.490	0.439	0.462	អេហ្គីស
aeration	0.550	0.500	0.433	ខ្យល់
aerial	0.615	0.461	0.463	ពីលើអាកាស
aerobics	0.708	0.771	0.627	អេរ៉ូប៊ីក
aerodrome	0.541	0.740	0.678	អាកាសយានដ្ឋាន
aerodynamic	0.561	0.724	0.728	លំហអាកាស
aerodynamics	0.590	0.663	0.722	ឌីណាមិក
aeronautics	0.551	0.633	0.688	អាកាសចរណ៍
aeroplane	0.714	0.642	0.644	យន្តហោះ
aerospace	0.643	0.520	0.779	លំហអាកាស
aesthetic	0.708	0.442	0.526	សោភ័ណភាព
aesthetics	0.847	0.327	0.549	សោភ័ណភាព
aetiology	0.480	0.398	0.615	រោគវិទ្យា
afar	0.396	0.373	0.358	ឆ្ងាយ
affable	0.704	0.380	0.452	អាចទទួលយកបាន។
affair	0.520	0.459	0.657	កិច្ចការ
affect	0.458	0.569	0.578	ប៉ះពាល់
affecting	0.350	0.574	0.394	ប៉ះពាល់
affection	0.898	0.559	0.696	ស្នេហា
affectionate	0.949	0.422	0.550	ស្រលាញ់
affections	0.760	0.547	0.655	ស្នេហា
affiche	0.479	0.265	0.402	អាហ្វីច
affidavit	0.469	0.584	0.526	លិខិតបញ្ជាក់
affiliated	0.673	0.519	0.535	ជាប់ទាក់ទង
affiliation	0.615	0.594	0.500	សម្ព័ន្ធភាព
affinity	0.800	0.500	0.537	ភាពស្និទ្ធស្នាល
affirm	0.745	0.509	0.731	បញ្ជាក់
affirmation	0.750	0.500	0.689	ការបញ្ជាក់
affirmative	0.854	0.589	0.816	បញ្ជាក់
affirmatively	0.908	0.500	0.811	បញ្ជាក់
affix	0.438	0.335	0.411	ភ្ជាប់
afflict	0.302	0.555	0.293	រងទុក្ខ
afflicted	0.271	0.500	0.167	រងទុក្ខ
affliction	0.294	0.635	0.392	ទុក្ខវេទនា
affluence	0.663	0.618	0.722	ភាពសម្បូរបែប
affluent	0.756	0.388	0.477	សម្បូរបែប
afford	0.571	0.580	0.575	មានលទ្ធភាព
affordable	0.840	0.398	0.493	មានតម្លៃសមរម្យ
affront	0.327	0.740	0.547	ប្រឈមមុខ
affronted	0.385	0.750	0.527	ប្រឈមមុខ
afield	0.594	0.370	0.373	វាល
afire	0.367	0.904	0.675	ភ្លើង
afloat	0.602	0.427	0.444	អណ្តែត
afore	0.500	0.337	0.382	មុន
aforementioned	0.490	0.316	0.408	ដែលបានរៀបរាប់ខាងលើ
aforesaid	0.531	0.358	0.478	ខាងលើ
afraid	0.010	0.775	0.245	ខ្លាច
afresh	0.643	0.521	0.480	ថ្មី
aft	0.480	0.417	0.518	ក្រោយ
afterlife	0.571	0.567	0.568	ក្រោយជីវិត
aftermath	0.312	0.449	0.444	ផលវិបាក
afternoon	0.533	0.388	0.339	រសៀល
aftershave	0.406	0.384	0.415	កោរសក់ក្រោយ
aftertaste	0.354	0.362	0.455	រសជាតិបន្ទាប់បន្សំ
afterthought	0.396	0.392	0.349	ការគិតក្រោយ
aga	0.542	0.327	0.398	អាហ្គា
agape	0.612	0.529	0.464	អាហ្គាប
agate	0.540	0.377	0.483	agate
age	0.561	0.226	0.498	អាយុ
aged	0.135	0.365	0.236	ចាស់
agency	0.460	0.296	0.583	ទីភ្នាក់ងារ
agenda	0.531	0.296	0.553	របៀបវារៈ
agent	0.480	0.439	0.755	ភ្នាក់ងារ
agglomeration	0.450	0.765	0.509	ការប្រមូលផ្តុំ
aggravate	0.224	0.770	0.464	កាន់តែធ្ងន់ធ្ងរ
aggravated	0.079	0.760	0.430	កាន់តែធ្ងន់ធ្ងរ
aggravates	0.108	0.778	0.357	កាន់តែធ្ងន់ធ្ងរ
aggravating	0.257	0.794	0.640	កាន់តែធ្ងន់ធ្ងរ
aggravation	0.071	0.784	0.613	ភាពធ្ងន់ធ្ងរ
aggregate	0.730	0.378	0.556	សរុប
aggregation	0.583	0.517	0.694	ការប្រមូលផ្តុំ
aggresive	0.059	0.971	0.639	ឈ្លានពាន
aggression	0.094	0.929	0.533	ការឈ្លានពាន
aggressive	0.125	0.949	0.648	ឈ្លានពាន
aggressively	0.250	0.926	0.688	យ៉ាង​ខ្លាំង
aggressiveness	0.077	0.913	0.648	ការឈ្លានពាន
aggressor	0.146	0.948	0.823	អ្នកឈ្លានពាន
agh	0.260	0.500	0.400	អេក
aghast	0.133	0.865	0.464	ខឹងសម្បារ
aghhh	0.281	0.635	0.243	ហាហា
agile	0.800	0.657	0.775	រហ័សរហួន
agility	0.720	0.702	0.815	ភាពរហ័សរហួន
aging	0.214	0.255	0.284	ភាពចាស់
agitate	0.300	0.796	0.593	ញាប់ញ័រ
agitated	0.444	0.882	0.491	រំភើប
agitation	0.240	0.931	0.447	ការ​រំជើបរំជួល
aglow	0.780	0.510	0.797	ភ្លឺ
agnostic	0.306	0.396	0.574	មិនជឿ
ago	0.317	0.280	0.404	កន្លងទៅ
agonizing	0.083	0.800	0.340	ឈឺចាប់
agony	0.083	0.775	0.393	ការឈឺចាប់
agoraphobia	0.127	0.712	0.438	ភាពភ័យស្លន់ស្លោ
agree	0.906	0.260	0.545	យល់ព្រម
agreeable	0.906	0.500	0.696	យល់ព្រម
agreed	0.797	0.449	0.574	យល់ព្រម
agreeing	0.854	0.480	0.557	យល់ព្រម
agreement	0.760	0.440	0.736	កិច្ចព្រមព្រៀង
agressive	0.083	0.918	0.751	ឈ្លានពាន
agricultural	0.686	0.321	0.473	កសិកម្ម
agriculture	0.640	0.357	0.465	កសិកម្ម
aground	0.333	0.340	0.445	វាលស្មៅ
agua	0.598	0.180	0.436	អាហ្គា
ahead	0.708	0.520	0.673	នៅពេល​ខាងមុខ
ahhh	0.562	0.517	0.241	អាហ៎
ahhhhhhhh	0.552	0.649	0.288	ហាហាហាហា
ahoy	0.500	0.497	0.380	អាហូ
aid	0.796	0.491	0.541	ជំនួយ
aide	0.724	0.342	0.434	ជំនួយ
aiding	0.643	0.533	0.569	ជំនួយ
aids	0.561	0.480	0.500	ជំនួយ
ail	0.375	0.434	0.385	ឈឺ
ailing	0.094	0.518	0.153	ឈឺ
ailment	0.146	0.734	0.277	ជំងឺ
aim	0.481	0.569	0.567	គោលបំណង
aimless	0.150	0.267	0.183	គ្មានគោលដៅ
air	0.708	0.163	0.427	ខ្យល់
airbag	0.510	0.402	0.433	ពោងសុវត្ថិភាព
airborne	0.542	0.519	0.385	ខ្យល់
aircraft	0.646	0.644	0.691	យន្តហោះ
aircraft carrier	0.490	0.740	0.727	នាវាផ្ទុកយន្តហោះ
airfield	0.601	0.650	0.645	អាកាសយានដ្ឋាន
airhead	0.271	0.481	0.276	ក្បាលខ្យល់
airlift	0.573	0.622	0.642	ការលើកយន្តហោះ
airline	0.650	0.482	0.688	ក្រុមហ៊ុនអាកាសចរណ៍
airliner	0.667	0.777	0.647	យន្តហោះ
airlock	0.398	0.520	0.447	សោខ្យល់
airman	0.587	0.716	0.721	អ្នកបើកយន្តហោះ
airplane	0.719	0.702	0.708	យន្តហោះ
airport	0.729	0.684	0.682	ព្រ​លាន​យន្តហោះ
airs	0.583	0.196	0.370	ខ្យល់
airship	0.542	0.472	0.529	យន្តហោះ
airspace	0.562	0.510	0.640	ដែនអាកាស
airspeed	0.583	0.780	0.544	ល្បឿនខ្យល់
airstrip	0.550	0.690	0.649	ផ្លូវអាកាស
airtight	0.479	0.381	0.570	ខ្យល់
airway	0.638	0.585	0.482	ផ្លូវខ្យល់
aisle	0.438	0.222	0.283	ច្រកផ្លូវ
ait	0.385	0.390	0.402	អាយ
ajar	0.460	0.413	0.446	ចំហរ
aka	0.459	0.358	0.351	អាកា
akin	0.639	0.343	0.523	ដូចគ្នា
alabaster	0.542	0.404	0.445	alabaster
alarm	0.241	0.882	0.698	សំឡេងរោទិ៍
alarm clock	0.542	0.727	0.642	ម៉ោង​រោ​ទិ៍
alarmed	0.188	0.822	0.492	តក់ស្លុត
alarming	0.204	0.890	0.585	ការ​ប្រកាស​អាសន្ន
alas	0.571	0.310	0.279	អាឡា
alb	0.521	0.380	0.427	អាល់ប
albatross	0.500	0.445	0.527	អាល់បាត្រូស
albino	0.500	0.240	0.358	អាល់ប៊ីណូ
album	0.635	0.349	0.453	អាល់ប៊ុម
alchemy	0.541	0.583	0.693	ជាតិអាល់កុល
alcohol	0.323	0.667	0.377	ជាតិអាល់កុល
alcoholic	0.153	0.688	0.361	គ្រឿងស្រវឹង
alcoholism	0.061	0.779	0.407	ការសេពគ្រឿងស្រវឹង
alcove	0.490	0.340	0.356	alcove
alderman	0.550	0.459	0.691	ធម្មនុញ្ញ
ale	0.530	0.450	0.358	អាល
alert	0.479	0.820	0.648	ដាស់តឿន
alertness	0.375	0.875	0.750	ការប្រុងប្រយ័ត្ន
alerts	0.337	0.804	0.673	ការជូនដំណឹង
alfalfa	0.546	0.250	0.311	អាល់ហ្វាហ្វា
algebra	0.440	0.340	0.565	ពិជគណិត
algebraic	0.531	0.412	0.441	ពិជគណិត
algorithm	0.448	0.394	0.559	ក្បួនដោះស្រាយ
alias	0.541	0.353	0.333	ឈ្មោះក្លែងក្លាយ
alibi	0.396	0.528	0.556	អាលីប៊ី
alien	0.410	0.615	0.491	ជនបរទេស
alienate	0.247	0.500	0.523	ផ្តាច់ខ្លួន
alienated	0.410	0.423	0.559	ដាច់ឆ្ងាយ
alienation	0.378	0.530	0.462	ការផ្តាច់ខ្លួន
alight	0.667	0.657	0.605	ភ្លើង
align	0.656	0.364	0.627	តម្រឹម
aligned	0.583	0.275	0.553	តម្រឹម
alignment	0.643	0.412	0.683	ការតម្រឹម
alike	0.653	0.173	0.444	ដូចគ្នា
alimentation	0.781	0.551	0.602	ចំណង់អាហារ
alimony	0.612	0.477	0.464	អាហារូបត្ថម្ភ
aliquot	0.440	0.310	0.404	អាលីកូ
alive	0.816	0.637	0.731	នៅរស់
alkali	0.490	0.350	0.408	អាល់កាឡាំង
alkaloids	0.433	0.562	0.402	អាល់កាឡូអ៊ីត
allay	0.417	0.406	0.398	អាឡៃ
allegation	0.578	0.578	0.608	ការចោទប្រកាន់
allege	0.418	0.482	0.587	ចោទប្រកាន់
alleged	0.365	0.522	0.520	ចោទប្រកាន់
allegiance	0.917	0.398	0.750	ភក្តីភាព
allegorical	0.517	0.558	0.598	ភូតភរ
allegory	0.615	0.580	0.509	allegory
allegro	0.635	0.627	0.453	Allegro
allergic	0.135	0.549	0.273	អាឡែស៊ី
allergy	0.296	0.606	0.389	អាឡែស៊ី
alleviate	0.869	0.270	0.528	បន្ធូរបន្ថយ
alleviation	0.735	0.200	0.491	ការធូរស្រាល
alley	0.347	0.500	0.355	ផ្លូវដើរ
