English Word	Valence	Arousal	Dominance	Gujarati Word
acquiring	0.735	0.510	0.817	હસ્તગત
acquisition	0.698	0.509	0.736	સંપાદન
acquisitions	0.773	0.660	0.790	એક્વિઝિશન
acquit	0.583	0.571	0.611	નિર્દોષ
acquittal	0.760	0.497	0.700	નિર્દોષ
acre	0.583	0.387	0.423	એકર
acreage	0.741	0.450	0.528	વાવેતર વિસ્તાર
acres	0.510	0.363	0.500	એકર
acrobat	0.708	0.828	0.602	એક્રોબેટ
acrylic	0.582	0.279	0.420	એક્રેલિક
act	0.656	0.704	0.735	કાર્ય
acting	0.698	0.643	0.500	અભિનય
action	0.760	0.898	0.802	ક્રિયા
action figure	0.615	0.774	0.611	ક્રિયા આકૃતિ
actionable	0.673	0.702	0.613	કાર્યક્ષમ
activate	0.764	0.650	0.806	સક્રિય કરો
activation	0.781	0.800	0.754	સક્રિયકરણ
active	0.847	0.730	0.731	સક્રિય
activist	0.531	0.653	0.877	કાર્યકર
activity	0.701	0.660	0.807	પ્રવૃત્તિ
actor	0.653	0.561	0.629	અભિનેતા
actress	0.633	0.556	0.596	અભિનેત્રી
actual	0.729	0.400	0.716	વાસ્તવિક
actuality	0.750	0.464	0.600	વાસ્તવિકતા
actuary	0.510	0.404	0.491	એક્ચ્યુરી
acuity	0.469	0.378	0.741	ઉગ્રતા
acumen	0.564	0.660	0.679	કૌશલ્ય
acupuncture	0.531	0.324	0.549	એક્યુપંક્ચર
acute	0.427	0.652	0.534	તીવ્ર
acutely	0.417	0.543	0.491	તીવ્રપણે
ad	0.521	0.705	0.558	જાહેરાત
adage	0.517	0.415	0.566	કહેવત
adamant	0.344	0.529	0.575	અડગ
adapt	0.740	0.355	0.551	સ્વીકારવાનું
adaptable	0.735	0.423	0.641	સ્વીકાર્ય
adaptation	0.663	0.365	0.609	અનુકૂલન
add	0.728	0.490	0.554	ઉમેરો
added	0.562	0.405	0.509	ઉમેર્યું
addendum	0.392	0.370	0.418	પરિશિષ્ટ
adder	0.388	0.461	0.588	ઉમેરનાર
addict	0.075	0.696	0.327	વ્યસની
addicted	0.156	0.712	0.483	વ્યસની
addiction	0.180	0.806	0.420	વ્યસન
addictive	0.302	0.683	0.472	વ્યસનકારક
addition	0.562	0.373	0.471	વધુમાં
additional	0.673	0.462	0.526	વધારાનુ
additive	0.561	0.633	0.691	ઉમેરણ
address	0.650	0.327	0.567	સરનામું
addressee	0.622	0.382	0.538	સરનામું
addresses	0.510	0.354	0.450	સરનામાં
adept	0.594	0.539	0.789	પારંગત
adequacy	0.615	0.435	0.702	પર્યાપ્તતા
adequate	0.854	0.264	0.705	પર્યાપ્ત
adhere	0.633	0.339	0.554	વળગી રહેવું
adherence	0.760	0.307	0.630	પાલન
adherent	0.561	0.385	0.555	પાલન કરનાર
adhering	0.612	0.561	0.537	પાલન
adhesion	0.521	0.445	0.586	સંલગ્નતા
adhesive	0.604	0.350	0.413	ચીકણું
adieu	0.250	0.471	0.342	વિદાય
adipose	0.333	0.350	0.391	ચરબીયુક્ત
adjacency	0.365	0.417	0.375	સંલગ્નતા
adjacent	0.645	0.276	0.536	અડીને
adjective	0.570	0.316	0.569	વિશેષણ
adjoining	0.520	0.400	0.393	સંલગ્ન
adjourn	0.385	0.456	0.475	મુલતવી રાખવું
adjournment	0.438	0.510	0.370	મુલતવી
adjudicate	0.559	0.520	0.683	નિર્ણય
adjudication	0.551	0.462	0.691	ચુકાદો
adjunct	0.459	0.440	0.426	સંલગ્ન
adjust	0.647	0.327	0.638	ગોઠવો
adjuster	0.510	0.540	0.760	એડજસ્ટર
adjustment	0.590	0.520	0.661	ગોઠવણ
adjuvant	0.510	0.500	0.456	સહાયક
admin	0.688	0.420	0.854	એડમિન
administer	0.635	0.425	0.860	વહીવટ
administration	0.625	0.404	0.786	વહીવટ
administrative	0.542	0.415	0.579	વહીવટી
administrator	0.538	0.480	0.902	સંચાલક
admirable	0.929	0.600	0.870	પ્રશંસનીય
admiral	0.844	0.490	0.847	એડમિરલ
admiralty	0.594	0.547	0.733	એડમિરલ્ટી
admiration	0.969	0.583	0.726	પ્રશંસા
admire	0.867	0.692	0.704	પ્રશંસક
admired	0.917	0.560	0.815	પ્રશંસક
admirer	0.796	0.720	0.650	પ્રશંસક
admiring	0.867	0.578	0.629	પ્રશંસક
admissibility	0.802	0.580	0.602	સ્વીકાર્યતા
admissible	0.780	0.528	0.642	સ્વીકાર્ય
admission	0.802	0.415	0.732	પ્રવેશ
admit	0.538	0.423	0.667	કબૂલ
admittance	0.690	0.451	0.598	પ્રવેશ
admitted	0.720	0.490	0.767	સ્વીકાર્યું
admitting	0.620	0.500	0.546	કબૂલ
admixture	0.450	0.375	0.438	મિશ્રણ
admonition	0.357	0.606	0.455	ચેતવણી
ado	0.520	0.423	0.385	અડચણ
adobe	0.500	0.319	0.328	એડોબ
adolescence	0.487	0.694	0.444	કિશોરાવસ્થા
adolescent	0.781	0.680	0.509	કિશોર
adopt	0.694	0.612	0.701	અપનાવવું
adoption	0.625	0.566	0.589	દત્તક
adoptive	0.531	0.469	0.520	દત્તક લેનાર
adorable	0.969	0.519	0.457	આરાધ્ય
adoration	0.885	0.699	0.708	આરાધના
adore	0.854	0.438	0.657	પૂજવું
adoring	0.885	0.620	0.717	પૂજવું
adorn	0.910	0.424	0.482	શણગારવું
adornment	0.918	0.373	0.377	શણગાર
adrenalin	0.865	0.920	0.786	એડ્રેનાલિન
adrenaline	0.765	0.965	0.825	એડ્રેનાલિન
adrift	0.398	0.486	0.230	વહી જવું
adult	0.815	0.491	0.787	પુખ્ત
adulterated	0.188	0.865	0.370	ભેળસેળવાળું
adulterer	0.229	0.814	0.407	વ્યભિચારી
adultery	0.120	0.922	0.510	વ્યભિચાર
adulthood	0.541	0.454	0.652	પુખ્તાવસ્થા
advance	0.673	0.472	0.858	અગાઉથી
advanced	0.844	0.623	0.797	અદ્યતન
advancement	0.776	0.650	0.839	ઉન્નતિ
advancing	0.929	0.608	0.812	આગળ વધી રહ્યું છે
advantage	0.917	0.548	0.859	ફાયદો
advantageous	0.837	0.640	0.789	ફાયદાકારક
advent	0.665	0.560	0.627	આગમન
adventure	0.917	0.857	0.710	સાહસ
adventurer	0.781	0.839	0.868	સાહસી
adventures	0.812	0.764	0.749	સાહસો
adventurous	0.969	0.898	0.722	સાહસિક
adversary	0.349	0.777	0.457	વિરોધી
adverse	0.323	0.610	0.385	પ્રતિકૂળ
adversity	0.276	0.760	0.538	પ્રતિકૂળતા
advertise	0.500	0.529	0.580	જાહેરાત
advertisement	0.600	0.566	0.539	જાહેરાત
advertising	0.622	0.608	0.632	જાહેરાત
adverts	0.551	0.500	0.595	જાહેરાતો
advice	0.698	0.408	0.688	સલાહ
advisable	0.867	0.480	0.510	સલાહભર્યું
advise	0.760	0.393	0.705	સલાહ
advised	0.823	0.330	0.509	સલાહ આપી
advisement	0.698	0.235	0.655	સલાહ
adviser	0.745	0.362	0.705	સલાહકાર
advisor	0.646	0.350	0.689	સલાહકાર
advisory	0.656	0.429	0.633	સલાહકાર
advocacy	0.500	0.646	0.731	હિમાયત
advocate	0.551	0.530	0.818	વકીલ
aegis	0.490	0.439	0.462	એજીસ
aeration	0.550	0.500	0.433	વાયુમિશ્રણ
aerial	0.615	0.461	0.463	હવાઈ
aerobics	0.708	0.771	0.627	ઍરોબિક્સ
aerodrome	0.541	0.740	0.678	એરોડ્રોમ
aerodynamic	0.561	0.724	0.728	એરોડાયનેમિક
aerodynamics	0.590	0.663	0.722	એરોડાયનેમિક્સ
aeronautics	0.551	0.633	0.688	એરોનોટિક્સ
aeroplane	0.714	0.642	0.644	વિમાન
aerospace	0.643	0.520	0.779	એરોસ્પેસ
aesthetic	0.708	0.442	0.526	સૌંદર્યલક્ષી
aesthetics	0.847	0.327	0.549	સૌંદર્ય શાસ્ત્ર
aetiology	0.480	0.398	0.615	ઈટીઓલોજી
afar	0.396	0.373	0.358	દૂર
affable	0.704	0.380	0.452	પ્રેમાળ
affair	0.520	0.459	0.657	અફેર
affect	0.458	0.569	0.578	અસર કરે છે
affecting	0.350	0.574	0.394	અસર કરે છે
affection	0.898	0.559	0.696	સ્નેહ
affectionate	0.949	0.422	0.550	પ્રેમાળ
affections	0.760	0.547	0.655	લાગણીઓ
affiche	0.479	0.265	0.402	એફિશ
affidavit	0.469	0.584	0.526	એફિડેવિટ
affiliated	0.673	0.519	0.535	સંલગ્ન
affiliation	0.615	0.594	0.500	જોડાણ
affinity	0.800	0.500	0.537	સંબંધ
affirm	0.745	0.509	0.731	ખાતરી
affirmation	0.750	0.500	0.689	પ્રતિજ્ઞા
affirmative	0.854	0.589	0.816	હકારાત્મક
affirmatively	0.908	0.500	0.811	હકારાત્મક રીતે
affix	0.438	0.335	0.411	જોડવું
afflict	0.302	0.555	0.293	પીડિત
afflicted	0.271	0.500	0.167	પીડિત
affliction	0.294	0.635	0.392	વેદના
affluence	0.663	0.618	0.722	સમૃદ્ધિ
affluent	0.756	0.388	0.477	સમૃદ્ધ
afford	0.571	0.580	0.575	પરવડી
affordable	0.840	0.398	0.493	પોસાય
affront	0.327	0.740	0.547	અપમાન
affronted	0.385	0.750	0.527	અપમાનિત
afield	0.594	0.370	0.373	દૂર
afire	0.367	0.904	0.675	આગ
afloat	0.602	0.427	0.444	તરતું
afore	0.500	0.337	0.382	આગળ
aforementioned	0.490	0.316	0.408	ઉપરોક્ત
aforesaid	0.531	0.358	0.478	ઉપરોક્ત
afraid	0.010	0.775	0.245	ભયભીત
afresh	0.643	0.521	0.480	નવેસરથી
aft	0.480	0.417	0.518	પાછળ
afterlife	0.571	0.567	0.568	પછીનું જીવન
aftermath	0.312	0.449	0.444	પરિણામ
afternoon	0.533	0.388	0.339	બપોરે
aftershave	0.406	0.384	0.415	આફ્ટરશેવ
aftertaste	0.354	0.362	0.455	આફ્ટરટેસ્ટ
afterthought	0.396	0.392	0.349	પછીનો વિચાર
aga	0.542	0.327	0.398	આગ
agape	0.612	0.529	0.464	અગાપે
agate	0.540	0.377	0.483	agate
age	0.561	0.226	0.498	ઉંમર
aged	0.135	0.365	0.236	વૃદ્ધ
agency	0.460	0.296	0.583	એજન્સી
agenda	0.531	0.296	0.553	કાર્યસૂચિ
agent	0.480	0.439	0.755	એજન્ટ
agglomeration	0.450	0.765	0.509	સમૂહ
aggravate	0.224	0.770	0.464	ઉત્તેજિત કરવું
aggravated	0.079	0.760	0.430	ઉત્તેજિત
aggravates	0.108	0.778	0.357	ઉત્તેજિત કરે છે
aggravating	0.257	0.794	0.640	ઉત્તેજક
aggravation	0.071	0.784	0.613	ઉત્તેજના
aggregate	0.730	0.378	0.556	એકંદર
aggregation	0.583	0.517	0.694	એકત્રીકરણ
aggresive	0.059	0.971	0.639	આક્રમક
aggression	0.094	0.929	0.533	આક્રમકતા
aggressive	0.125	0.949	0.648	આક્રમક
aggressively	0.250	0.926	0.688	આક્રમક રીતે
aggressiveness	0.077	0.913	0.648	આક્રમકતા
aggressor	0.146	0.948	0.823	આક્રમક
agh	0.260	0.500	0.400	આહ
aghast	0.133	0.865	0.464	આઘાત
aghhh	0.281	0.635	0.243	આહ
agile	0.800	0.657	0.775	ચપળ
agility	0.720	0.702	0.815	ચપળતા
aging	0.214	0.255	0.284	જૂની પુરાણી
agitate	0.300	0.796	0.593	આંદોલન કરવું
agitated	0.444	0.882	0.491	ઉશ્કેરાયેલ
agitation	0.240	0.931	0.447	આંદોલન
aglow	0.780	0.510	0.797	ચમકદાર
agnostic	0.306	0.396	0.574	અજ્ઞેયવાદી
ago	0.317	0.280	0.404	પહેલા
agonizing	0.083	0.800	0.340	પીડાદાયક
agony	0.083	0.775	0.393	વેદના
agoraphobia	0.127	0.712	0.438	ઍગોરાફોબિયા
agree	0.906	0.260	0.545	સંમત થાઓ
agreeable	0.906	0.500	0.696	સંમત
agreed	0.797	0.449	0.574	સંમત થયા
agreeing	0.854	0.480	0.557	સંમત
agreement	0.760	0.440	0.736	કરાર
agressive	0.083	0.918	0.751	આક્રમક
agricultural	0.686	0.321	0.473	કૃષિ
agriculture	0.640	0.357	0.465	કૃષિ
aground	0.333	0.340	0.445	જમીન પર
agua	0.598	0.180	0.436	આગ
ahead	0.708	0.520	0.673	આગળ
ahhh	0.562	0.517	0.241	આહ
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhhh
ahoy	0.500	0.497	0.380	અહોય
aid	0.796	0.491	0.541	સહાય
aide	0.724	0.342	0.434	સહાયક
aiding	0.643	0.533	0.569	સહાયક
aids	0.561	0.480	0.500	સહાય
ail	0.375	0.434	0.385	બીમારી
ailing	0.094	0.518	0.153	બીમાર
ailment	0.146	0.734	0.277	બિમારી
aim	0.481	0.569	0.567	ધ્યેય
aimless	0.150	0.267	0.183	ઉદ્દેશ્યહીન
air	0.708	0.163	0.427	હવા
airbag	0.510	0.402	0.433	એરબેગ
airborne	0.542	0.519	0.385	એરબોર્ન
aircraft	0.646	0.644	0.691	વિમાન
aircraft carrier	0.490	0.740	0.727	વિમાનવાહક
airfield	0.601	0.650	0.645	એરફિલ્ડ
airhead	0.271	0.481	0.276	એરહેડ
airlift	0.573	0.622	0.642	એરલિફ્ટ
airline	0.650	0.482	0.688	એરલાઇન
airliner	0.667	0.777	0.647	વિમાન
airlock	0.398	0.520	0.447	એરલોક
airman	0.587	0.716	0.721	એરમેન
airplane	0.719	0.702	0.708	વિમાન
airport	0.729	0.684	0.682	એરપોર્ટ
airs	0.583	0.196	0.370	પ્રસારણ
airship	0.542	0.472	0.529	એરશીપ
airspace	0.562	0.510	0.640	એરસ્પેસ
airspeed	0.583	0.780	0.544	એરસ્પીડ
airstrip	0.550	0.690	0.649	એરસ્ટ્રીપ
airtight	0.479	0.381	0.570	હવાચુસ્ત
airway	0.638	0.585	0.482	વાયુમાર્ગ
aisle	0.438	0.222	0.283	પાંખ
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	અજાર
aka	0.459	0.358	0.351	ઉર્ફે
akin	0.639	0.343	0.523	સમાન
alabaster	0.542	0.404	0.445	અલાબાસ્ટર
alarm	0.241	0.882	0.698	એલાર્મ
alarm clock	0.542	0.727	0.642	અલાર્મ ઘડિયાળ
alarmed	0.188	0.822	0.492	સાવધાન
alarming	0.204	0.890	0.585	ચિંતાજનક
alas	0.571	0.310	0.279	અરે
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	અલ્બાટ્રોસ
albino	0.500	0.240	0.358	અલ્બીનો
album	0.635	0.349	0.453	આલ્બમ
alchemy	0.541	0.583	0.693	રસાયણ
alcohol	0.323	0.667	0.377	દારૂ
alcoholic	0.153	0.688	0.361	આલ્કોહોલિક
alcoholism	0.061	0.779	0.407	મદ્યપાન
alcove	0.490	0.340	0.356	અલ્કોવ
alderman	0.550	0.459	0.691	એલ્ડરમેન
ale	0.530	0.450	0.358	એલ
alert	0.479	0.820	0.648	ચેતવણી
alertness	0.375	0.875	0.750	સતર્કતા
alerts	0.337	0.804	0.673	ચેતવણીઓ
alfalfa	0.546	0.250	0.311	આલ્ફલ્ફા
algebra	0.440	0.340	0.565	બીજગણિત
algebraic	0.531	0.412	0.441	બીજગણિત
algorithm	0.448	0.394	0.559	અલ્ગોરિધમ
alias	0.541	0.353	0.333	ઉપનામ
alibi	0.396	0.528	0.556	અલીબી
alien	0.410	0.615	0.491	એલિયન
alienate	0.247	0.500	0.523	વિમુખ કરવું
alienated	0.410	0.423	0.559	વિમુખ
alienation	0.378	0.530	0.462	પરાકાષ્ઠા
alight	0.667	0.657	0.605	ઊતરવું
align	0.656	0.364	0.627	સંરેખિત કરો
aligned	0.583	0.275	0.553	ગોઠવાયેલ
alignment	0.643	0.412	0.683	ગોઠવણી
alike	0.653	0.173	0.444	સમાન
alimentation	0.781	0.551	0.602	આહાર
alimony	0.612	0.477	0.464	ભરણપોષણ
aliquot	0.440	0.310	0.404	અલીકોટ
alive	0.816	0.637	0.731	જીવંત
alkali	0.490	0.350	0.408	આલ્કલી
alkaloids	0.433	0.562	0.402	આલ્કલોઇડ્સ
allay	0.417	0.406	0.398	દૂર કરવું
allegation	0.578	0.578	0.608	આરોપ
allege	0.418	0.482	0.587	આરોપ
alleged	0.365	0.522	0.520	આરોપ
allegiance	0.917	0.398	0.750	નિષ્ઠા
allegorical	0.517	0.558	0.598	રૂપકાત્મક
allegory	0.615	0.580	0.509	રૂપક
allegro	0.635	0.627	0.453	રૂપક
allergic	0.135	0.549	0.273	એલર્જીક
allergy	0.296	0.606	0.389	એલર્જી
alleviate	0.869	0.270	0.528	ઘટાડવું
alleviation	0.735	0.200	0.491	નિવારણ
alley	0.347	0.500	0.355	ગલી
alleyway	0.357	0.471	0.382	ગલી માર્ગ
alliance	0.696	0.473	0.769	જોડાણ
allied	0.714	0.245	0.642	સાથી
alligator	0.354	0.704	0.645	મગર
allocate	0.673	0.462	0.672	ફાળવણી
allocation	0.604	0.388	0.679	ફાળવણી
allot	0.622	0.481	0.616	ફાળવણી
allotment	0.600	0.390	0.640	ફાળવણી
allow	0.698	0.429	0.538	પરવાનગી આપે છે
allowable	0.698	0.500	0.561	માન્ય
allowance	0.673	0.382	0.591	ભથ્થું
allowed	0.730	0.360	0.655	મંજૂરી
alloy	0.583	0.443	0.593	એલોય
allsmiles	0.786	0.528	0.430	બધા સ્મિત
allure	0.804	0.585	0.686	આકર્ષણ
alluring	0.837	0.745	0.843	આકર્ષક
allusion	0.440	0.308	0.462	સંકેત
alluvial	0.323	0.490	0.491	કાંપવાળું
ally	0.792	0.320	0.688	સાથી
almanac	0.688	0.190	0.412	પંચાંગ
almighty	0.938	0.874	0.958	સર્વશક્તિમાન
almond	0.698	0.183	0.314	બદામ
aloft	0.771	0.373	0.700	ઉપર
aloha	0.698	0.440	0.441	અલોહા
alone	0.333	0.167	0.216	એકલા
alongside	0.458	0.333	0.347	સાથે
aloof	0.189	0.423	0.302	અલગ
aloud	0.458	0.713	0.750	મોટેથી
alpha	0.708	0.340	0.755	આલ્ફા
alphabet	0.562	0.204	0.672	મૂળાક્ષર
alphabetical	0.537	0.296	0.535	મૂળાક્ષર
alpine	0.594	0.337	0.474	આલ્પાઇન
alreadyyyyy	0.592	0.717	0.351	પહેલેથી જ
altar	0.724	0.387	0.635	વેદી
altar boy	0.434	0.206	0.350	વેદી છોકરો
alter	0.333	0.694	0.654	બદલો
alteration	0.167	0.798	0.609	ફેરફાર
altercation	0.170	0.806	0.500	બોલાચાલી
altered	0.255	0.765	0.500	બદલાયેલ
alternate	0.625	0.363	0.589	વૈકલ્પિક
alternating	0.480	0.494	0.542	વૈકલ્પિક
alternative	0.628	0.373	0.631	વૈકલ્પિક
altimeter	0.615	0.510	0.580	અલ્ટિમીટર
altitude	0.708	0.482	0.736	ઊંચાઈ
alto	0.656	0.404	0.730	અલ્ટો
altogether	0.833	0.324	0.644	એકંદરે
aluminum	0.449	0.280	0.434	એલ્યુમિનિયમ
alumnus	0.633	0.368	0.422	ભૂતપૂર્વ વિદ્યાર્થી
alveolar	0.469	0.481	0.367	મૂર્ધન્ય
alzheimers	0.194	0.518	0.319	અલ્ઝાઈમર
amalgam	0.438	0.333	0.510	મિશ્રણ
amalgamation	0.406	0.470	0.531	એકીકરણ
