English Word	Valence	Arousal	Dominance	Sinhala Word
abrasion	0.406	0.592	0.441	උල්ෙල්ඛ
abrasive	0.392	0.610	0.593	උල්ෙල්ඛ
abreast	0.635	0.380	0.519	සමීපව
abroad	0.677	0.596	0.561	පිටරට
abrogate	0.327	0.510	0.594	අවලංගු කරනවා
abrupt	0.271	0.819	0.545	හදිසියේ
abruptly	0.250	0.808	0.556	හදිසියේ
abscess	0.154	0.451	0.349	විවරයක්
absence	0.153	0.235	0.266	නොපැමිණීම
absent	0.177	0.221	0.116	නොපැමිණීම
absentee	0.235	0.330	0.279	නොපැමිණීම
absenteeism	0.404	0.273	0.357	නොපැමිණීම
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	නිරපේක්ෂ
absolution	0.715	0.500	0.664	නිදහස් වීම
absolve	0.684	0.449	0.660	නිදහස් කරන්න
absorb	0.469	0.558	0.670	අවශෝෂණය කරති
absorbed	0.490	0.471	0.519	අවශෝෂණය කර ඇත
absorbent	0.552	0.394	0.718	අවශෝෂක
absorbing	0.490	0.490	0.578	අවශෝෂණය
absorption	0.609	0.422	0.446	අවශෝෂණය
abstain	0.385	0.385	0.427	වැළකී සිටින්න
abstention	0.271	0.264	0.509	වැළකී සිටීම
abstinence	0.260	0.392	0.429	වැළකී සිටීම
abstract	0.438	0.292	0.444	වියුක්ත
abstraction	0.469	0.439	0.525	වියුක්ත කිරීම
absurd	0.188	0.656	0.284	විකාර
absurdity	0.115	0.528	0.227	විකාරයක්
abundance	0.812	0.690	0.852	බහුලත්වය
abundant	0.958	0.590	0.760	බහුල
abuse	0.071	0.873	0.469	අපයෙදුම්
abused	0.021	0.874	0.235	අපයෝජනය කළා
abusive	0.125	0.903	0.567	අපවාදාත්මක
abutment	0.500	0.265	0.616	යට කිරීම
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	අගාධය
abyss	0.353	0.725	0.296	අගාධය
academic	0.781	0.420	0.812	ශාස්ත්රීය
academy	0.704	0.473	0.792	ඇකඩමිය
accede	0.698	0.510	0.537	එකඟ වෙනවා
accelerant	0.643	0.844	0.802	වේගවත්
accelerate	0.615	0.902	0.759	වේගවත් කරන්න
accelerated	0.610	0.812	0.682	වේගවත් කර ඇත
acceleration	0.704	0.905	0.843	ත්වරණය
accelerator	0.593	0.830	0.812	ත්වරණකාරකය
accent	0.598	0.357	0.509	උච්චාරණය
accentuate	0.673	0.556	0.667	අවධාරණය කරන්න
accept	0.847	0.286	0.565	පිළිගන්නවා
acceptable	0.812	0.286	0.583	පිළිගත හැකි
acceptance	0.833	0.287	0.755	පිළිගැනීම
acceptances	0.847	0.413	0.648	පිළිගැනීම්
access	0.714	0.472	0.567	ප්රවේශ
accessible	0.796	0.410	0.645	ප්රවේශ විය හැකි
accession	0.612	0.383	0.636	ඇතුල් වීම
accessory	0.562	0.292	0.445	උපාංගය
accident	0.125	0.908	0.336	අනතුර
accidental	0.319	0.784	0.307	අහම්බෙන්
accidentally	0.333	0.741	0.333	අහම්බෙන්
acclaim	0.562	0.809	0.718	පිළිගැනීම
accolade	0.688	0.591	0.775	සම්මානය
accommodate	0.844	0.375	0.566	නවාතැන්
accommodation	0.817	0.415	0.587	නවාතැන්
accompaniment	0.740	0.479	0.695	සහකාරිය
accompany	0.833	0.406	0.585	කැටුව
accompanying	0.787	0.460	0.582	කැටුව යන
accomplice	0.408	0.580	0.510	හවුල්කාරයෙක්
accomplish	0.929	0.673	0.816	ඉටු කරනවා
accomplished	0.870	0.520	0.798	ඉටු කර ඇත
accomplishment	0.917	0.694	0.888	ඉටු
accord	0.898	0.264	0.382	එකඟතාව
accordance	0.659	0.349	0.600	අනුකූලව
accordion	0.604	0.490	0.361	Accordion
account	0.531	0.347	0.472	ගිණුම
accountability	0.755	0.537	0.833	වගවීම
accountable	0.709	0.282	0.777	වගකියන
accountant	0.625	0.450	0.639	ගණකාධිකාරී
accounting	0.552	0.390	0.677	ගිණුම්කරණය
accounts	0.592	0.340	0.471	ගිණුම්
accredited	0.669	0.479	0.768	ප්රතීතනය කර ඇත
accretion	0.448	0.519	0.672	සමුච්චය වීම
accrue	0.520	0.481	0.602	එකතු වෙනවා
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	රැස් කරනවා
accumulation	0.479	0.527	0.600	සමුච්චය වීම
accuracy	0.604	0.481	0.802	නිරවද්යතාව
accurate	0.743	0.360	0.737	නිවැරදි
accursed	0.135	0.745	0.345	ශාප ලත්
accusation	0.073	0.718	0.564	චෝදනාව
accusative	0.198	0.755	0.482	චෝදනා කරන
accuse	0.133	0.752	0.500	චෝදනා කරනවා
accused	0.130	0.670	0.420	චෝදනා කළා
accuser	0.122	0.779	0.615	චෝදනා කරන්නා
accusing	0.156	0.745	0.324	චෝදනා කරනවා
accustomed	0.542	0.365	0.441	පුරුදු වෙලා
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	ඇසිටික්
acetylene	0.306	0.469	0.509	ඇසිටිලීන්
ache	0.146	0.760	0.312	කැක්කුම
achieve	0.816	0.545	0.843	සාක්ෂාත් කර ගැනීම
achieved	0.896	0.519	0.775	සාක්ෂාත් කරගත්තා
achievement	0.896	0.808	0.759	ජයග්රහණය
aching	0.053	0.880	0.348	වේදනාව
achy	0.167	0.840	0.373	කැක්කුම
acid	0.265	0.642	0.566	අම්ලය
acidity	0.156	0.663	0.360	ආම්ලිකතාවය
acknowledge	0.786	0.370	0.661	පිළිගන්නවා
acknowledged	0.714	0.443	0.765	පිළිගත්තා
acknowledgement	0.819	0.539	0.830	පිළිගැනීම
acknowledgment	0.796	0.528	0.777	පිළිගැනීම
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	කුරුලෑ
acorn	0.448	0.198	0.192	acorn
acoustic	0.542	0.462	0.536	ධ්වනි
acoustics	0.611	0.330	0.509	ධ්වනි විද්යාව
acquaint	0.646	0.491	0.639	අඳුනනවා
acquaintance	0.656	0.290	0.670	දැන හඳුනා ගැනීම
acquainted	0.906	0.358	0.632	අඳුනන ලදී
acquiescence	0.542	0.480	0.554	එකඟ වීම
acquire	0.833	0.468	0.700	අත්පත් කර ගැනීම
acquiring	0.735	0.510	0.817	අත්පත් කර ගැනීම
acquisition	0.698	0.509	0.736	අත්පත් කර ගැනීම
acquisitions	0.773	0.660	0.790	අත්පත් කර ගැනීම්
acquit	0.583	0.571	0.611	නිදොස් කරනවා
acquittal	0.760	0.497	0.700	නිදොස් කොට නිදහස් කිරීම
acre	0.583	0.387	0.423	අක්කර
acreage	0.741	0.450	0.528	අක්කර ප්රමාණය
acres	0.510	0.363	0.500	අක්කර
acrobat	0.708	0.828	0.602	acrobat
acrylic	0.582	0.279	0.420	ඇක්රිලික්
act	0.656	0.704	0.735	පනත
acting	0.698	0.643	0.500	රඟපානවා
action	0.760	0.898	0.802	කටයුතු
action figure	0.615	0.774	0.611	ක්රියාකාරී රූපය
actionable	0.673	0.702	0.613	ක්රියා කළ හැකි
activate	0.764	0.650	0.806	සක්රිය කරන්න
activation	0.781	0.800	0.754	සක්රිය කිරීම
active	0.847	0.730	0.731	ක්රියාකාරී
activist	0.531	0.653	0.877	ක්රියාකාරී
activity	0.701	0.660	0.807	ක්රියාකාරිත්වය
actor	0.653	0.561	0.629	නළුවා
actress	0.633	0.556	0.596	නිළිය
actual	0.729	0.400	0.716	සැබෑ
actuality	0.750	0.464	0.600	යථාර්ථය
actuary	0.510	0.404	0.491	ක්රියාකාරී
acuity	0.469	0.378	0.741	තියුණු බව
acumen	0.564	0.660	0.679	දක්ෂතාවය
acupuncture	0.531	0.324	0.549	කටු චිකිත්සාව
acute	0.427	0.652	0.534	උග්ර
acutely	0.417	0.543	0.491	උග්ර ලෙස
ad	0.521	0.705	0.558	දැන්වීම
adage	0.517	0.415	0.566	ආප්තෝපදේශය
adamant	0.344	0.529	0.575	දැඩි
adapt	0.740	0.355	0.551	අනුගත වෙනවා
adaptable	0.735	0.423	0.641	අනුවර්තනය කළ හැකි
adaptation	0.663	0.365	0.609	අනුවර්තනය
add	0.728	0.490	0.554	එකතු කරන්න
added	0.562	0.405	0.509	එකතු කළා
addendum	0.392	0.370	0.418	අතිරේකය
adder	0.388	0.461	0.588	එකතු කරන්නා
addict	0.075	0.696	0.327	ඇබ්බැහි
addicted	0.156	0.712	0.483	ඇබ්බැහි වෙලා
addiction	0.180	0.806	0.420	ඇබ්බැහි වීම
addictive	0.302	0.683	0.472	ඇබ්බැහි වීම
addition	0.562	0.373	0.471	ඊට අමතරව
additional	0.673	0.462	0.526	අමතර
additive	0.561	0.633	0.691	ආකලන
address	0.650	0.327	0.567	ලිපිනය
addressee	0.622	0.382	0.538	ලිපිනය
addresses	0.510	0.354	0.450	ලිපිනයන්
adept	0.594	0.539	0.789	දක්ෂ
adequacy	0.615	0.435	0.702	ප්රමාණවත් බව
adequate	0.854	0.264	0.705	ප්රමාණවත්
adhere	0.633	0.339	0.554	පිළිපදින්න
adherence	0.760	0.307	0.630	පිළිපැදීම
adherent	0.561	0.385	0.555	අනුගාමික
adhering	0.612	0.561	0.537	පිළිපැදීම
adhesion	0.521	0.445	0.586	ඇලවීම
adhesive	0.604	0.350	0.413	මැලියම්
adieu	0.250	0.471	0.342	සමුගන්න
adipose	0.333	0.350	0.391	මේද සහිත
adjacency	0.365	0.417	0.375	යාබදව
adjacent	0.645	0.276	0.536	යාබද
adjective	0.570	0.316	0.569	විශේෂණ පදය
adjoining	0.520	0.400	0.393	යාබද
adjourn	0.385	0.456	0.475	කල් තබයි
adjournment	0.438	0.510	0.370	කල් තැබීම
adjudicate	0.559	0.520	0.683	විනිශ්චය කරන්න
adjudication	0.551	0.462	0.691	විනිශ්චය
adjunct	0.459	0.440	0.426	අනුබද්ධ
adjust	0.647	0.327	0.638	සකස් කරන්න
adjuster	0.510	0.540	0.760	ගැලපුම්කරු
adjustment	0.590	0.520	0.661	ගැලපීම
adjuvant	0.510	0.500	0.456	සහායක
admin	0.688	0.420	0.854	පරිපාලක
administer	0.635	0.425	0.860	පරිපාලනය කරයි
administration	0.625	0.404	0.786	පරිපාලනය
administrative	0.542	0.415	0.579	පරිපාලන
administrator	0.538	0.480	0.902	පරිපාලක
admirable	0.929	0.600	0.870	ප්රශංසනීයයි
admiral	0.844	0.490	0.847	අද්මිරාල්
admiralty	0.594	0.547	0.733	අද්මිරාල්ටි
admiration	0.969	0.583	0.726	පැහැදීම
admire	0.867	0.692	0.704	අගය කරනවා
admired	0.917	0.560	0.815	පැහැදුණා
admirer	0.796	0.720	0.650	අගය කරන්නා
admiring	0.867	0.578	0.629	අගය කරනවා
admissibility	0.802	0.580	0.602	පිළිගැනීමේ හැකියාව
admissible	0.780	0.528	0.642	පිළිගත හැකි
admission	0.802	0.415	0.732	ඇතුළත් කිරීම
admit	0.538	0.423	0.667	පිළිගන්නවා
admittance	0.690	0.451	0.598	පිළිගැනීම
admitted	0.720	0.490	0.767	පිළිගත්තා
admitting	0.620	0.500	0.546	පිළිගන්නවා
admixture	0.450	0.375	0.438	මිශ්රණ
admonition	0.357	0.606	0.455	අවවාදයයි
ado	0.520	0.423	0.385	අඩෝ
adobe	0.500	0.319	0.328	adobe
adolescence	0.487	0.694	0.444	නව යොවුන් විය
adolescent	0.781	0.680	0.509	නව යොවුන් වියේ
adopt	0.694	0.612	0.701	හදාගන්නවා
adoption	0.625	0.566	0.589	දරුකමට හදා ගැනීම
adoptive	0.531	0.469	0.520	හදාගන්නවා
adorable	0.969	0.519	0.457	ප්රියජනකයි
adoration	0.885	0.699	0.708	නමස්කාරය
adore	0.854	0.438	0.657	වන්දනා කරනවා
adoring	0.885	0.620	0.717	වන්දනා කරනවා
adorn	0.910	0.424	0.482	සරසනවා
adornment	0.918	0.373	0.377	සැරසීම
adrenalin	0.865	0.920	0.786	ඇඩ්රිනලින්
adrenaline	0.765	0.965	0.825	ඇඩ්රිනලින්
adrift	0.398	0.486	0.230	පාවෙන
adult	0.815	0.491	0.787	වැඩිහිටි
adulterated	0.188	0.865	0.370	ව්යාජය
adulterer	0.229	0.814	0.407	සල්ලාලයා
adultery	0.120	0.922	0.510	කාමමිථ්යාචාරය
adulthood	0.541	0.454	0.652	වැඩිහිටි විය
advance	0.673	0.472	0.858	අත්තිකාරම්
advanced	0.844	0.623	0.797	උසස්
advancement	0.776	0.650	0.839	දියුණුව
advancing	0.929	0.608	0.812	ඉදිරියට යනවා
advantage	0.917	0.548	0.859	වාසිය
advantageous	0.837	0.640	0.789	වාසිදායකය
advent	0.665	0.560	0.627	පැමිණීම
adventure	0.917	0.857	0.710	ත්රාසජනක
adventurer	0.781	0.839	0.868	ත්රාසජනක
adventures	0.812	0.764	0.749	වික්රමාන්විතයන්
adventurous	0.969	0.898	0.722	වික්රමාන්විත
adversary	0.349	0.777	0.457	විරුද්ධවාදියා
adverse	0.323	0.610	0.385	අහිතකර
adversity	0.276	0.760	0.538	විපත්ති
advertise	0.500	0.529	0.580	ප්‍රචාරණය කරනවා
advertisement	0.600	0.566	0.539	වෙළඳ දැන්වීම
advertising	0.622	0.608	0.632	ප්රචාරණය
adverts	0.551	0.500	0.595	දැන්වීම්
advice	0.698	0.408	0.688	උපදෙස්
advisable	0.867	0.480	0.510	යෝග්ය ය
advise	0.760	0.393	0.705	උපදෙස් දෙන්න
advised	0.823	0.330	0.509	උපදෙස් දුන්නා
advisement	0.698	0.235	0.655	උපදෙස්
adviser	0.745	0.362	0.705	උපදේශක
advisor	0.646	0.350	0.689	උපදේශක
advisory	0.656	0.429	0.633	උපදේශන
advocacy	0.500	0.646	0.731	උපදේශනය
advocate	0.551	0.530	0.818	නීතිඥ
aegis	0.490	0.439	0.462	aegis
aeration	0.550	0.500	0.433	වාතනය
aerial	0.615	0.461	0.463	ගුවන්
aerobics	0.708	0.771	0.627	aerobics
aerodrome	0.541	0.740	0.678	ගුවන් යානය
aerodynamic	0.561	0.724	0.728	වායුගතික
aerodynamics	0.590	0.663	0.722	වායුගතික විද්යාව
aeronautics	0.551	0.633	0.688	ගුවන් යානා
aeroplane	0.714	0.642	0.644	ගුවන් යානය
aerospace	0.643	0.520	0.779	අභ්යවකාශය
aesthetic	0.708	0.442	0.526	සෞන්දර්යාත්මක
aesthetics	0.847	0.327	0.549	සෞන්දර්යය
aetiology	0.480	0.398	0.615	හේතු විද්යාව
afar	0.396	0.373	0.358	දුරින්
affable	0.704	0.380	0.452	සුහදශීලී
affair	0.520	0.459	0.657	සම්බන්ධය
affect	0.458	0.569	0.578	බලපාන
affecting	0.350	0.574	0.394	බලපානවා
affection	0.898	0.559	0.696	සෙනෙහස
affectionate	0.949	0.422	0.550	ආදරණීය
affections	0.760	0.547	0.655	සෙනෙහස
affiche	0.479	0.265	0.402	affiche
affidavit	0.469	0.584	0.526	දිවුරුම් ප්රකාශය
affiliated	0.673	0.519	0.535	අනුබද්ධ
affiliation	0.615	0.594	0.500	අනුබද්ධය
affinity	0.800	0.500	0.537	හිතවත්කම
affirm	0.745	0.509	0.731	තහවුරු කරනවා
affirmation	0.750	0.500	0.689	තහවුරු කිරීම
affirmative	0.854	0.589	0.816	ස්ථිරයි
affirmatively	0.908	0.500	0.811	ස්ථිර ලෙස
affix	0.438	0.335	0.411	ඇලවීම
afflict	0.302	0.555	0.293	පීඩාවට
afflicted	0.271	0.500	0.167	පීඩාවට පත් විය
affliction	0.294	0.635	0.392	පීඩාව
affluence	0.663	0.618	0.722	ධනවත් බව
affluent	0.756	0.388	0.477	ධනවත්
afford	0.571	0.580	0.575	දැරිය හැකි
affordable	0.840	0.398	0.493	දැරිය හැකි
affront	0.327	0.740	0.547	අපහාස කරනවා
affronted	0.385	0.750	0.527	අපහාස කළා
afield	0.594	0.370	0.373	පිටිසර
afire	0.367	0.904	0.675	ගින්නක්
afloat	0.602	0.427	0.444	පාවෙන
afore	0.500	0.337	0.382	පෙර
aforementioned	0.490	0.316	0.408	ඉහත සඳහන් කර ඇත
aforesaid	0.531	0.358	0.478	පෙර කීවේය
afraid	0.010	0.775	0.245	බයයි
afresh	0.643	0.521	0.480	අලුතින්
aft	0.480	0.417	0.518	පසුපස
afterlife	0.571	0.567	0.568	මරණින් මතු ජීවිතය
aftermath	0.312	0.449	0.444	පසු විපාක
afternoon	0.533	0.388	0.339	දහවල්
aftershave	0.406	0.384	0.415	රැවුල බෑමෙන් පසු
aftertaste	0.354	0.362	0.455	පසු රසය
afterthought	0.396	0.392	0.349	පසු සිතුවිල්ල
aga	0.542	0.327	0.398	ආගා
agape	0.612	0.529	0.464	agape
agate	0.540	0.377	0.483	අගස්ති
age	0.561	0.226	0.498	වයස
aged	0.135	0.365	0.236	වයස්ගත
agency	0.460	0.296	0.583	නියෝජිතායතනය
agenda	0.531	0.296	0.553	න්යාය පත්රය
agent	0.480	0.439	0.755	නියෝජිතයා
agglomeration	0.450	0.765	0.509	එකතු කිරීම
aggravate	0.224	0.770	0.464	උග්ර කරයි
aggravated	0.079	0.760	0.430	උත්සන්න විය
aggravates	0.108	0.778	0.357	උග්ර කරයි
aggravating	0.257	0.794	0.640	උග්ර කරයි
aggravation	0.071	0.784	0.613	උග්රවීම
aggregate	0.730	0.378	0.556	සමස්ථ
aggregation	0.583	0.517	0.694	එකතු කිරීම
aggresive	0.059	0.971	0.639	ආක්රමණශීලී
aggression	0.094	0.929	0.533	ආක්රමණශීලීත්වය
aggressive	0.125	0.949	0.648	ආක්රමණශීලී
aggressively	0.250	0.926	0.688	ආක්රමණශීලී ලෙස
aggressiveness	0.077	0.913	0.648	ආක්රමණශීලී බව
aggressor	0.146	0.948	0.823	ආක්රමණිකයා
agh	0.260	0.500	0.400	ආහ්
aghast	0.133	0.865	0.464	කෝපයට පත්
aghhh	0.281	0.635	0.243	aghhh
agile	0.800	0.657	0.775	කඩිසර
agility	0.720	0.702	0.815	කඩිසර බව
aging	0.214	0.255	0.284	වයස්ගත වීම
agitate	0.300	0.796	0.593	උද්ඝෝෂණ කරන්න
agitated	0.444	0.882	0.491	කලබල විය
agitation	0.240	0.931	0.447	උද්ඝෝෂණය
aglow	0.780	0.510	0.797	දිලිසෙනවා
agnostic	0.306	0.396	0.574	අඥෙයවාදී
ago	0.317	0.280	0.404	පෙර
agonizing	0.083	0.800	0.340	වේදනාකාරී
agony	0.083	0.775	0.393	වේදනාව
agoraphobia	0.127	0.712	0.438	අගෝරාෆෝබියාව
agree	0.906	0.260	0.545	එකඟයි
agreeable	0.906	0.500	0.696	එකඟ විය හැකි
agreed	0.797	0.449	0.574	එකඟ විය
agreeing	0.854	0.480	0.557	එකඟ වෙනවා
agreement	0.760	0.440	0.736	ගිවිසුම
agressive	0.083	0.918	0.751	ආක්රමණශීලී
agricultural	0.686	0.321	0.473	කෘෂි
agriculture	0.640	0.357	0.465	කෘෂිකර්ම
aground	0.333	0.340	0.445	ගොඩබිම
agua	0.598	0.180	0.436	agua
ahead	0.708	0.520	0.673	ඉදිරියෙන්
ahhh	0.562	0.517	0.241	ahhh
ahhhhhhhh	0.552	0.649	0.288	ahhhhhhh
ahoy	0.500	0.497	0.380	අහෝ
aid	0.796	0.491	0.541	ආධාර
aide	0.724	0.342	0.434	සහායකයා
aiding	0.643	0.533	0.569	ආධාර කරනවා
aids	0.561	0.480	0.500	ආධාර
ail	0.375	0.434	0.385	අසනීප
ailing	0.094	0.518	0.153	රෝගාතුර වීම
ailment	0.146	0.734	0.277	අසනීප
aim	0.481	0.569	0.567	ඉලක්කය
aimless	0.150	0.267	0.183	අරමුණක් නැති
air	0.708	0.163	0.427	වායු
airbag	0.510	0.402	0.433	වායු බෑගය
airborne	0.542	0.519	0.385	වාතයෙන්
aircraft	0.646	0.644	0.691	ගුවන් යානා
aircraft carrier	0.490	0.740	0.727	ගුවන් යානා වාහකය
airfield	0.601	0.650	0.645	ගුවන් තොටුපළ
airhead	0.271	0.481	0.276	ගුවන් හිස
airlift	0.573	0.622	0.642	ගුවන් සෝපානය
airline	0.650	0.482	0.688	ගුවන් සමාගම
airliner	0.667	0.777	0.647	ගුවන් යානය
airlock	0.398	0.520	0.447	ගුවන් අගුල
airman	0.587	0.716	0.721	ගුවන් භටයා
airplane	0.719	0.702	0.708	ගුවන් යානය
airport	0.729	0.684	0.682	ගුවන් තොටුපළ
airs	0.583	0.196	0.370	වාතය
airship	0.542	0.472	0.529	ගුවන් යානය
airspace	0.562	0.510	0.640	ගුවන් අවකාශය
airspeed	0.583	0.780	0.544	ගුවන් වේගය
airstrip	0.550	0.690	0.649	ගුවන් පථය
airtight	0.479	0.381	0.570	වාතය රහිත
airway	0.638	0.585	0.482	ගුවන් මාර්ගය
aisle	0.438	0.222	0.283	පේළිය
ait	0.385	0.390	0.402	ait
ajar	0.460	0.413	0.446	අජාර්
aka	0.459	0.358	0.351	හෙවත්
akin	0.639	0.343	0.523	හුරු
alabaster	0.542	0.404	0.445	ඇලබැස්ටර්
alarm	0.241	0.882	0.698	අනතුරු ඇඟවීම
alarm clock	0.542	0.727	0.642	අනතුරු ඇඟවීමේ ඔරලෝසුව
alarmed	0.188	0.822	0.492	කලබල විය
alarming	0.204	0.890	0.585	තැතිගන්වනසුලු
alas	0.571	0.310	0.279	අහෝ
alb	0.521	0.380	0.427	alb
albatross	0.500	0.445	0.527	ඇල්බට්‍රොස්
albino	0.500	0.240	0.358	ඇල්බිනෝ
album	0.635	0.349	0.453	ඇල්බමය
alchemy	0.541	0.583	0.693	ඇල්කෙමිය
alcohol	0.323	0.667	0.377	මත්පැන්
alcoholic	0.153	0.688	0.361	මත්පැන්
alcoholism	0.061	0.779	0.407	මත්පැන් පානය
alcove	0.490	0.340	0.356	ඇල්කොව්
alderman	0.550	0.459	0.691	ඇල්ඩර්මන්
ale	0.530	0.450	0.358	ale
alert	0.479	0.820	0.648	සීරුවෙන්
alertness	0.375	0.875	0.750	සීරුවෙන්
alerts	0.337	0.804	0.673	අනතුරු ඇඟවීම්
alfalfa	0.546	0.250	0.311	ඇල්ෆල්ෆා
algebra	0.440	0.340	0.565	වීජ ගණිතය
algebraic	0.531	0.412	0.441	වීජීය
algorithm	0.448	0.394	0.559	ඇල්ගොරිතම
alias	0.541	0.353	0.333	අන්වර්ථ නාමයක්
alibi	0.396	0.528	0.556	alibi
alien	0.410	0.615	0.491	පිටසක්වල
alienate	0.247	0.500	0.523	විරසක කරනවා
alienated	0.410	0.423	0.559	විරසක විය
alienation	0.378	0.530	0.462	විරසක වීම
alight	0.667	0.657	0.605	බසිනවා
align	0.656	0.364	0.627	පෙළගස්වන්න
aligned	0.583	0.275	0.553	පෙළගස්වා ඇත
alignment	0.643	0.412	0.683	පෙළගැස්ම
alike	0.653	0.173	0.444	සමානව
alimentation	0.781	0.551	0.602	ආහාර ගැනීම
alimony	0.612	0.477	0.464	ජීවිතාන්තය
aliquot	0.440	0.310	0.404	ඇල්කොට්
alive	0.816	0.637	0.731	ජීවමානයි
alkali	0.490	0.350	0.408	ක්ෂාර
alkaloids	0.433	0.562	0.402	ඇල්කලෝයිඩ්
allay	0.417	0.406	0.398	සමනය කරන්න
allegation	0.578	0.578	0.608	චෝදනාව
allege	0.418	0.482	0.587	චෝදනා කරනවා
alleged	0.365	0.522	0.520	චෝදනා කළා
allegiance	0.917	0.398	0.750	පක්ෂපාතීත්වය
allegorical	0.517	0.558	0.598	රූපමය
allegory	0.615	0.580	0.509	උපමාව
allegro	0.635	0.627	0.453	ඇලෙග්රෝ
allergic	0.135	0.549	0.273	අසාත්මික
allergy	0.296	0.606	0.389	අසාත්මිකතා
alleviate	0.869	0.270	0.528	සමනය කරන්න
alleviation	0.735	0.200	0.491	ලිහිල් කිරීම
alley	0.347	0.500	0.355	පටුමග
alleyway	0.357	0.471	0.382	මංතීරුව
alliance	0.696	0.473	0.769	සන්ධානය
allied	0.714	0.245	0.642	මිත්ර
alligator	0.354	0.704	0.645	කිඹුලා
allocate	0.673	0.462	0.672	වෙන් කරන්න
allocation	0.604	0.388	0.679	වෙන් කිරීම
allot	0.622	0.481	0.616	වෙන් කරන්න
allotment	0.600	0.390	0.640	වෙන් කිරීම
allow	0.698	0.429	0.538	ඉඩ දෙන්න
allowable	0.698	0.500	0.561	අවසර ඇත
allowance	0.673	0.382	0.591	දීමනාව
allowed	0.730	0.360	0.655	අවසර
alloy	0.583	0.443	0.593	මිශ්ර ලෝහය
allsmiles	0.786	0.528	0.430	සිනාසෙයි
allure	0.804	0.585	0.686	ආකර්ෂණය
alluring	0.837	0.745	0.843	ආකර්ෂණීය
allusion	0.440	0.308	0.462	ඇඟවීම
alluvial	0.323	0.490	0.491	ඇලවියල්
ally	0.792	0.320	0.688	මිත්ර
almanac	0.688	0.190	0.412	අල්මනාක්
almighty	0.938	0.874	0.958	සර්ව බලධාරී
almond	0.698	0.183	0.314	ආමන්ඩ්
aloft	0.771	0.373	0.700	ඉහළට
aloha	0.698	0.440	0.441	aloha
alone	0.333	0.167	0.216	තනියම
alongside	0.458	0.333	0.347	පසෙකින්
aloof	0.189	0.423	0.302	දුරස්ථ
aloud	0.458	0.713	0.750	හයියෙන්
